#1
double Inf_Xnd(1346,5)  # t   steady   dry   rain   strm
-2.0000000000 -1 0 1 2
0.0000000000 10.59 11.81 11.81 11.81
0.0104166667 10.59 11.81 11.81 11.81
0.0208333333 10.59 11.59 11.59 11.59
0.0312500000 10.59 11.38 11.38 11.38
0.0416666667 10.59 11.17 11.17 11.17
0.0520833333 10.59 10.93 10.93 10.92
0.0625000000 10.59 11.16 11.16 11.16
0.0729166667 10.59 10.75 10.75 10.75
0.0833333333 10.59 10.36 10.36 10.36
0.0937500000 10.59 10.07 10.07 10.07
0.1041666667 10.59 9.79 9.79 9.79
0.1145833333 10.59 9.38 9.38 9.38
0.1250000000 10.59 8.91 8.91 8.91
0.1354166667 10.59 8.44 8.44 8.44
0.1458333333 10.59 7.98 7.98 7.98
0.1562500000 10.59 7.53 7.53 7.53
0.1666666667 10.59 7.23 7.23 7.23
0.1770833333 10.59 6.91 6.91 6.91
0.1875000000 10.59 6.67 6.67 6.67
0.1979166667 10.59 6.6  6.6  6.6
0.2083333333 10.59 6.44 6.44 6.44
0.2187500000 10.59 6.4  6.4  6.4
0.2291666667 10.59 6.4  6.4  6.4
0.2395833333 10.59 6.39 6.39 6.39
0.2500000000 10.59 6.24 6.24 6.24
0.2604166667 10.59 6.12 6.12 6.12
0.2708333333 10.59 5.96 5.96 5.96
0.2812500000 10.59 5.85 5.85 5.85
0.2916666667 10.59 5.73 5.73 5.73
0.3020833333 10.59 5.65 5.65 5.65
0.3125000000 10.59 5.62 5.62 5.62
0.3229166667 10.59 5.64 5.64 5.64
0.3333333333 10.59 5.65 5.65 5.65
0.3437500000 10.59 5.64 5.64 5.64
0.3541666667 10.59 5.72 5.72 5.72
0.3645833333 10.59 5.84 5.84 5.84
0.3750000000 10.59 6.16 6.16 6.15
0.3854166667 10.59 6.56 6.56 6.56
0.3958333333 10.59 7.41 7.41 7.41
0.4062500000 10.59 8.54 8.54 8.54
0.4166666667 10.59 9.42 9.42 9.42
0.4270833333 10.59 10.45 10.45 10.45
0.4375000000 10.59 11.55 11.55 11.55
0.4479166667 10.59 12.67 12.67 12.67
0.4583333333 10.59 13.65 13.65 13.65
0.4687500000 10.59 14.47 14.47 14.47
0.4791666667 10.59 15.12 15.12 15.12
0.4895833333 10.59 15.26 15.26 15.26
0.5000000000 10.59 15.22 15.22 15.22
0.5104166667 10.59 15.14 15.14 15.14
0.5208333333 10.59 14.95 14.95 14.95
0.5312500000 10.59 14.9 14.9 14.9
0.5416666667 10.59 14.44 14.44 14.44
0.5520833333 10.59 14.67 14.67 14.67
0.5625000000 10.59 14.72 14.72 14.72
0.5729166667 10.59 14.54 14.54 14.54
0.5833333333 10.59 14.29 14.29 14.29
0.5937500000 10.59 13.73 13.73 13.72
0.6041666667 10.59 12.99 12.99 12.99
0.6145833333 10.59 13.39 13.39 13.39
0.6250000000 10.59 13.31 13.31 13.31
0.6354166667 10.59 13.03 13.03 13.03
0.6458333333 10.59 12.97 12.97 12.97
0.6562500000 10.59 12.35 12.35 12.35
0.6666666667 10.59 11.72 11.72 11.72
0.6770833333 10.59 11.47 11.47 11.47
0.6875000000 10.59 11.24 11.24 11.24
0.6979166667 10.59 11.16 11.16 11.16
0.7083333333 10.59 10.99 10.99 10.99
0.7187500000 10.59 10.79 10.79 10.79
0.7291666667 10.59 10.52 10.52 10.52
0.7395833333 10.59 10.42 10.42 10.42
0.7500000000 10.59 10.34 10.34 10.34
0.7604166667 10.59 10.26 10.26 10.26
0.7708333333 10.59 10.2 10.2 10.2
0.7812500000 10.59 10.68 10.68 10.68
0.7916666667 10.59 10.96 10.96 10.96
0.8020833333 10.59 11.13 11.13 11.13
0.8125000000 10.59 11.34 11.34 11.34
0.8229166667 10.59 11.07 11.07 11.07
0.8333333333 10.59 11.12 11.12 11.12
0.8437500000 10.59 11.58 11.58 11.57
0.8541666667 10.59 11.71 11.71 11.71
0.8645833333 10.59 11.87 11.87 11.87
0.8750000000 10.59 11.88 11.88 11.88
0.8854166667 10.59 11.56 11.56 11.56
0.8958333333 10.59 12.23 12.23 12.23
0.9062500000 10.59 12.44 12.44 12.44
0.9166666667 10.59 12.5 12.5 12.5
0.9270833333 10.59 12.47 12.47 12.47
0.9375000000 10.59 11.84 11.84 11.84
0.9479166667 10.59 12.45 12.45 12.45
0.9583333333 10.59 12.53 12.53 12.53
0.9687500000 10.59 12.72 12.72 12.72
0.9791666667 10.59 12.65 12.65 12.65
0.9895833333 10.59 12.3 12.3 12.3
1.0000000000 10.59 11.84 11.84 11.84
1.0104166667 10.59 11.54 11.54 11.53
1.0208333333 10.59 11.34 11.34 11.34
1.0312500000 10.59 11.72 11.72 11.72
1.0416666667 10.59 11.79 11.79 11.79
1.0520833333 10.59 12.01 12.01 12.01
1.0625000000 10.59 12.16 12.16 12.16
1.0729166667 10.59 11.27 11.27 11.27
1.0833333333 10.59 10.66 10.66 10.66
1.0937500000 10.59 10.19 10.19 10.19
1.1041666667 10.59 9.74 9.74 9.74
1.1145833333 10.59 9.31 9.31 9.31
1.1250000000 10.59 8.86 8.86 8.86
1.1354166667 10.59 8.37 8.37 8.37
1.1458333333 10.59 7.83 7.83 7.83
1.1562500000 10.59 7.36 7.36 7.36
1.1666666667 10.59 6.91 6.91 6.91
1.1770833333 10.59 6.47 6.47 6.47
1.1875000000 10.59 6.25 6.25 6.25
1.1979166667 10.59 5.95 5.95 5.95
1.2083333333 10.59 5.75 5.75 5.75
1.2187500000 10.59 5.6  5.6  5.6
1.2291666667 10.59 5.52 5.52 5.52
1.2395833333 10.59 5.42 5.42 5.42
1.2500000000 10.59 5.39 5.39 5.39
1.2604166667 10.59 5.4  5.4  5.4
1.2708333333 10.59 5.28 5.28 5.28
1.2812500000 10.59 5.2  5.2  5.2
1.2916666667 10.59 5.19 5.19 5.19
1.3020833333 10.59 5.22 5.22 5.22
1.3125000000 10.59 5.14 5.14 5.14
1.3229166667 10.59 5.1  5.1  5.1
1.3333333333 10.59 5.07 5.07 5.07
1.3437500000 10.59 5.02 5.02 5.02
1.3541666667 10.59 5.12 5.12 5.12
1.3645833333 10.59 5.14 5.14 5.14
1.3750000000 10.59 5.14 5.14 5.14
1.3854166667 10.59 5.47 5.47 5.47
1.3958333333 10.59 6.52 6.52 6.52
1.4062500000 10.59 7.46 7.46 7.46
1.4166666667 10.59 8.4  8.4  8.4
1.4270833333 10.59 9.51 9.51 9.5
1.4375000000 10.59 10.73 10.73 10.73
1.4479166667 10.59 12.07 12.07 12.07
1.4583333333 10.59 13.24 13.24 13.24
1.4687500000 10.59 14.2 14.2 14.2
1.4791666667 10.59 15  15  15
1.4895833333 10.59 15.64 15.64 15.64
1.5000000000 10.59 16.07 16.07 16.07
1.5104166667 10.59 15.9 15.9 15.9
1.5208333333 10.59 15.67 15.67 15.67
1.5312500000 10.59 15.42 15.42 15.42
1.5416666667 10.59 15.19 15.19 15.19
1.5520833333 10.59 14.97 14.97 14.97
1.5625000000 10.59 14.57 14.57 14.57
